id,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,y
22,74,45.7,1579332,2002,муж.,ср. специальное,50863.0,1,99.524,0,низкий,1,1,0.0075,-2.62,262000.0,0.07,1,0
23,87,39.7,1513318,1970,муж.,ср. специальное,67423.0,0,102.677,0,низкий,1,1,0.0084,2.32,78000.0,0.621,2,0
24,93,70.8,253968,2002,жен.,ср. общ.,61766.0,0,98.269,0,средний,1,0,0.009,0.52,70000.0,0.998,2,0
25,34,92.0,973104,2002,муж.,высшее,48041.0,1,104.768,0,высокий,1,0,0.0077,2.11,189000.0,0.709,5,0
26,23,28.0,838142,1974,муж.,ср. общ.,71162.0,0,79.896,0,высокий,0,0,0.0081,3.17,40000.0,0.286,2,0
27,27,60.3,1257044,1961,жен.,высшее,24663.0,1,102.7,0,низкий,1,0,0.0092,-0.2,153000.0,0.921,5,0
28,30,64.0,1479734,1981,жен.,неоконч. высшее,34255.0,0,96.878,0,низкий,1,1,0.0089,0.02,73000.0,0.771,1,0
29,60,83.9,1361924,1984,муж.,ср. общ.,61494.0,0,122.565,0,средний,1,1,0.0076,-0.45,50000.0,0.873,3,0
30,81,37.2,145651,2002,муж.,высшее,34404.0,0,107.8,0,средний,1,1,0.0074,2.98,139000.0,0.206,2,0
31,60,73.5,1386209,1978,жен.,ср. специальное,24634.0,0,104.008,0,низкий,1,0,0.0091,-3.23,111000.0,0.379,2,0
32,60,83.2,1599383,1973,муж.,высшее,31784.0,0,100.535,0,средний,1,1,0.0084,1.98,18000.0,0.962,4,0
33,65,65.3,1050585,1951,муж.,среднее,61086.0,0,95.192,0,низкий,1,0,0.0094,-3.19,66000.0,0.977,1,0
34,11,33.6,600285,1968,муж.,высшее,36718.0,1,106.506,0,средний,1,0,0.0093,2.71,36000.0,0.895,1,0
35,88,92.3,250944,1962,жен.,неоконч. высшее,24874.0,0,120.533,0,низкий,1,1,0.0074,0.29,43000.0,0.403,1,0
36,69,61.7,446213,1983,муж.,среднее,17218.0,0,110.136,0,высокий,1,0,0.0084,0.65,59000.0,0.04,3,0
37,56,43.6,255912,2001,муж.,высшее,80258.0,1,119.927,0,средний,1,0,0.0088,1.64,32000.0,0.587,2,0
38,39,74.2,1675410,1988,жен.,среднее,41119.0,0,108.792,0,низкий,1,0,0.009,1.97,39000.0,0.132,1,0
39,64,71.6,358264,1972,муж.,среднее,18658.0,0,98.993,0,средний,1,0,0.0096,-0.65,88000.0,0.215,1,0
40,12,49.6,700065,1956,жен.,ср. общ.,16501.0,0,113.474,0,средний,1,0,0.0079,-1.67,15000.0,0.366,1,0
41,56,53.5,414425,1961,жен.,уч. степень,61429.0,0,93.459,0,высокий,1,1,0.0072,-0.6,31000.0,0.079,4,0
42,43,81.3,1129316,1975,жен.,ср. специальное,15437.0,1,111.055,0,средний,1,1,0.0079,1.41,92000.0,0.272,2,0
43,74,66.7,2146276,1962,жен.,среднее,16890.0,1,101.682,0,средний,1,0,0.0087,-2.27,61000.0,0.026,3,0
44,70,71.0,1982482,1994,муж.,среднее,59941.0,1,113.446,0,средний,1,0,0.0088,-2.18,152000.0,0.823,4,0
45,56,41.1,1040183,1966,муж.,среднее,50425.0,0,90.367,0,низкий,1,1,0.0095,3.3,11000.0,0.143,4,0
46,55,91.1,1656965,1971,муж.,среднее,58895.0,1,106.165,0,средний,1,1,0.0086,0.53,23000.0,0.952,2,0
47,97,60.5,1442187,2002,муж.,высшее,57842.0,1,83.585,0,средний,1,1,0.0094,1.4,14000.0,0.505,2,0
48,20,64.6,2080021,1976,муж.,высшее,21415.0,0,97.199,0,низкий,0,1,0.0084,0.16,46000.0,0.239,2,0
49,75,68.1,811025,1992,муж.,уч. степень,74625.0,0,80.523,0,низкий,0,0,0.0093,1.29,23000.0,0.526,3,0
50,22,67.2,1679421,2002,муж.,высшее,37095.0,1,97.412,0,высокий,0,1,0.0075,-4.02,42000.0,0.321,3,0
51,48,58.1,485416,1958,жен.,среднее,43194.0,0,110.835,0,средний,0,0,0.0079,0.51,215000.0,0.938,1,0
52,22,56.6,1085770,1990,жен.,уч. степень,13753.0,1,88.54,0,средний,1,1,0.0075,0.6,47000.0,0.267,3,0
53,40,65.0,185471,1974,жен.,начальное,13238.0,0,122.648,0,высокий,1,1,0.0093,2.73,34000.0,0.339,1,0
54,82,65.0,617898,1952,жен.,высшее,57666.0,0,119.82,0,средний,1,1,0.0082,3.29,115000.0,0.54,1,0
55,35,33.8,191673,2002,муж.,среднее,29719.0,0,106.607,0,средний,1,0,0.0094,-1.67,23000.0,0.979,2,0
56,80,57.5,1468917,1952,жен.,начальное,68509.0,1,122.582,0,высокий,1,1,0.0085,-1.28,82000.0,0.645,1,0
57,57,82.3,1364950,1960,муж.,ср. общ.,22122.0,0,111.05,0,средний,1,0,0.008,-1.04,194000.0,0.752,3,0
58,45,64.8,1529674,1993,муж.,ср. специальное,77952.0,0,103.344,0,средний,1,0,0.0072,-0.37,54000.0,0.185,5,0
59,61,32.6,1124075,2000,муж.,высшее,31981.0,1,125.117,0,низкий,0,0,0.0087,3.72,80000.0,0.193,3,0
60,70,70.3,379155,1976,NA,неоконч. высшее,59837.0,1,96.884,0,средний,1,1,0.0074,-0.27,36000.0,0.88,1,0
61,93,51.2,700353,1966,жен.,высшее,30842.0,0,94.856,0,высокий,1,1,0.0088,-3.81,261000.0,0.149,3,0
62,53,55.8,287238,1999,жен.,высшее,30964.0,0,113.735,0,средний,1,0,0.0069,-1.18,81000.0,0.188,3,0
63,85,35.2,1990473,1990,жен.,ср. специальное,59715.0,1,106.238,0,низкий,1,1,0.0094,-1.76,127000.0,0.155,1,0
64,27,49.3,1401964,1982,жен.,высшее,63832.0,0,93.718,0,средний,1,0,0.0083,0.57,80000.0,0.689,2,0
65,36,28.0,708195,1958,жен.,среднее,46922.0,1,110.884,0,высокий,1,1,0.0072,1.22,73000.0,0.787,2,0
66,39,66.5,1442556,1983,муж.,уч. степень,42561.0,1,108.101,0,высокий,1,1,0.008,-0.04,30000.0,0.86,1,0
67,40,71.2,833372,1954,муж.,высшее,41816.0,1,103.23,0,средний,1,0,0.0085,1.33,154000.0,0.624,1,0
68,60,36.3,1337539,1940,жен.,высшее,56121.0,1,109.78,0,средний,1,0,0.0082,-0.19,312000.0,0.284,4,0
69,13,73.5,1718190,1991,жен.,высшее,79909.0,0,101.499,0,средний,1,1,0.0085,0.18,32000.0,0.727,1,0
70,64,28.0,876646,1986,жен.,среднее,41694.0,0,109.939,0,низкий,1,1,0.0087,-0.74,75000.0,0.501,1,0
71,19,63.3,2188486,1965,жен.,начальное,16975.0,0,97.756,0,высокий,1,1,0.0084,-4.32,27000.0,0.04,5,0
72,18,81.3,305967,1993,жен.,высшее,42382.0,0,113.454,0,низкий,1,0,0.0083,2.32,65000.0,0.157,2,0
73,88,28.3,1121944,1991,жен.,ср. специальное,37954.0,0,91.074,0,средний,1,1,0.0087,-2.38,147000.0,0.141,3,0
74,77,61.7,1934819,1982,жен.,среднее,11541.0,0,112.828,0,низкий,0,0,0.008,-6.07,101000.0,0.748,3,0
75,45,96.0,1665364,1976,жен.,высшее,36439.0,0,106.076,0,низкий,0,0,0.0081,0.6,44000.0,0.352,1,0
76,97,69.8,509973,1975,муж.,высшее,67748.0,0,84.175,0,низкий,1,0,0.0079,-0.4,168000.0,0.592,1,0
77,61,83.9,1905019,1989,муж.,ср. специальное,39452.0,1,84.64,0,средний,0,1,0.0095,1.45,144000.0,0.074,2,0
78,36,61.5,1224337,1982,NA,ср. специальное,38753.0,0,87.818,0,низкий,1,0,0.0087,-2.74,41000.0,0.647,2,0
79,33,93.6,1499436,2002,жен.,NA,63232.0,1,107.522,0,средний,1,1,0.0089,-1.54,121000.0,0.771,1,0
80,93,60.0,1892034,1985,муж.,ср. общ.,12248.0,1,111.035,0,низкий,1,1,0.0084,1.1,150000.0,0.764,5,0
81,33,49.3,2165801,1997,муж.,неоконч. высшее,89075.0,0,104.379,1,низкий,1,0,0.0093,-3.86,70000.0,0.14,2,0
82,15,84.7,858171,1962,жен.,NA,80863.0,0,80.867,0,высокий,0,1,0.0087,1.73,17000.0,0.315,3,0
83,64,91.2,623267,1978,жен.,ср. специальное,49444.0,0,85.676,0,средний,1,0,0.009,-1.41,13000.0,0.959,2,0
84,96,66.9,1634698,1977,жен.,ср. специальное,49490.0,0,107.823,0,средний,1,0,0.0076,4.85,192000.0,0.433,1,0
85,78,75.8,1363783,2002,жен.,ср. общ.,70080.0,1,97.067,0,низкий,1,0,0.0084,2.05,54000.0,0.431,1,0
86,20,60.5,1958466,1996,муж.,высшее,72084.0,0,88.771,1,средний,0,0,0.0093,0.64,258000.0,0.96,5,0
87,17,91.8,1107758,1973,муж.,неоконч. высшее,51188.0,0,107.088,0,средний,0,0,0.0079,-2.69,112000.0,0.462,1,0
88,47,39.8,522404,1992,жен.,среднее,74774.0,0,110.764,0,низкий,1,1,0.0073,1.61,57000.0,0.734,2,0
89,42,66.1,1356540,1982,жен.,ср. общ.,68341.0,1,100.789,0,средний,1,1,0.0074,1.17,233000.0,0.338,5,0
90,56,72.8,491655,1963,муж.,высшее,36618.0,0,101.393,0,средний,0,0,0.0089,-1.78,20000.0,0.537,5,0
91,30,91.3,1617801,1992,жен.,NA,32208.0,0,103.271,0,средний,1,1,0.0079,-2.67,96000.0,0.096,4,0
92,58,96.9,1542129,1980,жен.,высшее,58365.0,0,89.059,0,высокий,1,1,0.0072,3.34,198000.0,0.596,1,0
93,22,72.6,1688836,1975,муж.,неоконч. высшее,49913.0,0,84.193,0,средний,0,0,0.009,0.3,137000.0,0.445,5,0
94,55,93.8,270557,1960,жен.,среднее,59064.0,1,84.468,0,высокий,1,1,0.0094,4.25,179000.0,0.009,1,0
95,77,56.0,1466909,2000,муж.,уч. степень,72429.0,1,105.646,1,низкий,1,1,0.0088,-0.16,83000.0,0.453,4,0
96,58,59.6,575654,1977,жен.,неоконч. высшее,43364.0,1,86.799,0,NA,1,0,0.0076,1.06,181000.0,0.662,3,0
97,13,59.0,1708982,1972,муж.,ср. специальное,25579.0,1,129.56,0,низкий,1,0,0.0095,1.82,87000.0,0.163,4,0
98,13,85.6,1479179,1985,NA,неоконч. высшее,48204.0,1,106.069,0,низкий,0,1,0.0094,-1.59,256000.0,0.484,4,0
99,17,58.1,785692,1963,муж.,среднее,41025.0,1,128.73,0,низкий,1,1,0.0074,2.62,97000.0,0.245,2,0
100,48,83.3,1917902,1980,муж.,среднее,59875.0,1,95.332,0,средний,1,0,0.0073,-1.15,71000.0,0.45,4,0
101,90,87.2,777578,1975,жен.,высшее,59123.0,0,79.086,0,низкий,1,0,0.0079,-0.67,80000.0,0.304,1,0
102,97,95.8,236819,1959,муж.,высшее,17750.0,0,106.825,0,низкий,1,0,0.0081,4.86,238000.0,0.221,2,0
103,58,70.3,1462497,1971,муж.,высшее,23136.0,1,99.967,0,средний,0,1,0.0071,0.76,139000.0,0.168,3,0
104,39,71.2,2149288,2000,муж.,высшее,23152.0,0,95.994,0,низкий,1,0,0.0079,0.32,99000.0,0.73,5,0
105,16,36.7,1966687,1963,жен.,среднее,57606.0,0,87.228,0,низкий,0,1,0.0078,-0.55,77000.0,0.696,3,0
106,10,59.7,1973625,1981,жен.,ср. общ.,35876.0,0,107.281,0,низкий,1,0,0.0081,-0.11,44000.0,0.52,3,0
107,44,42.2,812958,1995,жен.,высшее,56387.0,0,114.72,0,высокий,1,0,0.0081,-0.47,87000.0,0.596,4,0
108,36,37.3,2171461,2001,жен.,среднее,102325.0,0,110.96,0,средний,1,0,0.0091,-2.48,38000.0,0.831,5,0
109,88,65.4,787563,1983,жен.,NA,45061.0,0,93.69,0,средний,1,0,0.0072,0.42,202000.0,0.756,1,0
110,73,94.5,789827,1971,жен.,уч. степень,62199.0,0,95.987,0,средний,1,0,0.0094,-0.91,41000.0,0.99,2,0
111,51,63.4,439440,1969,жен.,неоконч. высшее,19073.0,0,98.357,0,средний,1,0,0.0093,2.73,131000.0,0.273,5,0
112,47,44.9,1170222,1975,жен.,среднее,28206.0,1,94.862,0,низкий,1,1,0.0091,-3.73,56000.0,0.487,3,0
113,35,85.0,1858821,1992,муж.,среднее,52980.0,1,107.71,0,средний,1,1,0.0072,3.31,68000.0,0.386,1,0
114,23,89.8,2218140,1988,жен.,ср. специальное,66134.0,0,95.571,0,средний,1,0,0.0081,0.83,16000.0,0.174,1,0
115,68,67.9,2237831,1974,NA,неоконч. высшее,38502.0,0,99.029,0,низкий,1,1,0.0071,-1.2,92000.0,0.105,2,0
116,77,64.1,459501,1994,жен.,ср. специальное,10815.0,0,92.244,0,NA,1,0,0.007,-0.19,75000.0,0.425,2,0
117,12,51.5,2233925,2002,муж.,среднее,29053.0,0,118.455,0,низкий,1,0,0.0079,-0.23,172000.0,0.683,3,0
118,30,42.9,2162615,1985,муж.,среднее,26801.0,1,113.263,0,низкий,0,0,0.0077,-1.37,109000.0,0.42,1,0
119,25,78.8,849769,1975,муж.,неоконч. высшее,29199.0,0,85.602,0,средний,1,0,0.0091,-2.98,275000.0,0.255,5,0
120,10,84.8,1891672,1943,муж.,среднее,16268.0,0,86.023,0,средний,1,0,0.0071,2.27,123000.0,0.728,4,0
121,18,40.3,986710,1973,муж.,ср. специальное,53256.0,0,99.937,0,низкий,1,0,0.0085,0.71,77000.0,0.496,4,0
122,36,64.0,1659492,1958,муж.,среднее,35920.0,0,102.96,0,низкий,1,1,0.0081,0.81,43000.0,0.061,3,0
123,60,28.0,2086465,1997,жен.,начальное,52321.0,0,107.676,0,низкий,0,1,0.0085,-2.33,260000.0,0.15,1,0
124,71,84.5,1883187,1985,жен.,неоконч. высшее,15605.0,0,94.981,0,низкий,1,1,0.0075,-1.7,114000.0,0.955,4,0
125,28,69.8,1487642,1975,жен.,среднее,36503.0,0,94.723,0,низкий,0,0,0.0088,-2.34,94000.0,0.575,1,0
126,40,53.1,2124200,1980,жен.,ср. специальное,28220.0,0,110.245,0,средний,1,0,0.0075,-2.73,97000.0,0.115,2,0
127,14,68.6,1012841,1967,муж.,ср. общ.,47817.0,1,107.25,0,средний,0,1,0.0076,-0.68,150000.0,0.644,2,0
128,49,115.8,451683,1954,муж.,ср. специальное,17215.0,0,98.025,0,высокий,1,1,0.0073,-2.05,117000.0,0.484,2,0
129,24,75.7,938981,1988,жен.,среднее,21439.0,1,98.155,0,высокий,0,1,0.0076,-1.74,76000.0,0.118,4,0
130,78,48.0,840719,1993,муж.,неоконч. высшее,46785.0,0,103.027,0,средний,1,0,0.0069,-0.52,47000.0,0.896,1,0
131,22,89.5,769358,1969,муж.,высшее,46975.0,0,105.42,0,средний,1,0,0.0096,2.43,171000.0,0.83,3,0
132,18,96.9,829148,1964,жен.,среднее,43441.0,1,110.968,0,низкий,1,0,0.0085,2.66,74000.0,0.764,4,1
133,90,53.2,980193,1976,муж.,среднее,55465.0,0,124.389,0,низкий,1,0,0.0093,0.64,145000.0,0.475,2,0
134,26,44.7,901837,1947,NA,высшее,62310.0,1,117.893,0,средний,1,1,0.0093,-0.14,97000.0,0.005,2,0
135,72,86.8,1868597,2002,жен.,неоконч. высшее,25780.0,0,114.86,0,высокий,1,0,0.0085,-2.7,162000.0,0.672,1,0
136,70,115.9,207120,1988,жен.,ср. специальное,12478.0,0,117.523,0,низкий,1,0,0.0085,3.08,153000.0,0.204,2,0
137,11,68.4,105146,1976,NA,высшее,79349.0,0,95.461,0,высокий,1,0,0.0076,1.67,42000.0,0.108,3,0
138,93,53.6,1410828,1996,муж.,высшее,29073.0,0,108.281,0,средний,0,1,0.008,2.36,18000.0,0.948,2,0
139,17,96.0,1699922,1969,жен.,неоконч. высшее,74378.0,0,106.08,0,высокий,1,0,0.0077,2.78,44000.0,0.005,5,0
140,55,89.0,210533,1970,муж.,неоконч. высшее,96682.0,1,112.876,0,средний,1,1,0.0094,-0.33,201000.0,0.257,1,0
141,32,86.0,241923,1955,муж.,среднее,19785.0,0,117.397,0,низкий,1,1,0.0075,-0.74,101000.0,0.428,3,0
142,70,88.3,127868,1985,жен.,ср. общ.,16360.0,0,102.541,0,низкий,0,0,0.0082,-2.75,91000.0,0.184,5,0
143,95,64.3,2080209,2002,муж.,высшее,71641.0,1,96.802,0,средний,0,1,0.0071,-3.04,14000.0,0.366,2,0
144,92,74.1,671905,1968,муж.,среднее,68124.0,1,122.108,0,высокий,1,0,0.0084,-3.26,92000.0,0.636,1,0
145,78,49.5,1072930,1993,муж.,ср. общ.,49869.0,1,105.422,0,средний,1,0,0.0078,-2.41,145000.0,0.797,1,0
146,78,28.0,303736,2002,муж.,ср. специальное,75126.0,0,92.93,0,средний,0,0,0.0075,-0.43,120000.0,0.958,2,0
147,58,69.3,422150,1995,муж.,уч. степень,54666.0,0,125.782,0,высокий,1,1,0.0071,-0.85,268000.0,0.631,4,0
148,38,58.5,2083612,2002,муж.,среднее,76429.0,0,97.242,0,низкий,1,1,0.0078,2.89,182000.0,0.163,1,0
149,75,77.1,183357,1985,жен.,неоконч. высшее,54090.0,0,102.074,0,средний,0,1,0.0082,-0.22,76000.0,0.603,2,0
150,22,63.2,584915,1976,муж.,высшее,44410.0,0,99.664,0,средний,0,0,0.0089,-2.7,115000.0,0.389,2,0
151,80,49.5,445509,1953,жен.,ср. специальное,14635.0,0,99.6,0,средний,1,0,0.0087,-0.82,153000.0,0.748,1,0
152,97,94.2,1612269,1981,жен.,ср. специальное,69053.0,1,103.955,0,средний,1,1,0.0093,1.54,16000.0,0.649,1,0
153,36,105.6,1994733,1982,жен.,среднее,63341.0,0,82.281,0,высокий,1,1,0.007,0.7,45000.0,0.425,2,0
154,53,89.9,1628786,2002,жен.,ср. специальное,42379.0,0,100.39,0,высокий,1,1,0.0075,-1.07,144000.0,0.618,2,0
155,72,39.5,1601074,1987,жен.,высшее,66776.0,1,113.821,0,средний,1,0,0.0072,-1.82,98000.0,0.188,3,0
156,36,38.2,1095177,1992,муж.,среднее,24882.0,0,117.992,0,средний,1,0,0.0076,-0.17,110000.0,0.812,2,0
157,35,62.2,904858,1976,жен.,ср. специальное,65713.0,0,89.275,0,средний,0,0,0.007,-2.97,228000.0,0.625,2,0
158,88,63.4,682411,1977,муж.,начальное,32427.0,0,108.973,0,низкий,1,0,0.0092,-1.27,182000.0,0.041,1,0
159,35,96.2,2235391,1974,муж.,неоконч. высшее,68066.0,0,105.549,0,средний,0,1,0.0091,-4.1,49000.0,0.759,1,0
160,86,76.8,440333,2002,муж.,NA,28314.0,0,100.076,0,средний,0,0,0.0088,-0.11,90000.0,0.436,1,0
161,52,63.2,1228080,2002,муж.,среднее,41048.0,0,100.132,0,низкий,0,1,0.0085,-2.07,155000.0,0.861,2,0
162,23,82.0,1285209,1974,муж.,среднее,49432.0,0,96.673,0,высокий,1,0,0.008,-0.14,111000.0,0.55,3,0
163,67,28.0,984381,1968,жен.,высшее,16231.0,1,104.027,0,низкий,0,0,0.0077,0.17,18000.0,0.343,5,0
164,50,44.8,1991745,1965,муж.,среднее,11130.0,0,104.259,0,высокий,0,0,0.0078,0.32,82000.0,0.273,4,0
165,84,57.3,1538607,1998,муж.,высшее,27279.0,1,112.606,0,средний,1,0,0.0079,-1.7,48000.0,0.902,3,0
166,35,102.2,1151382,1976,муж.,уч. степень,40157.0,0,89.371,0,высокий,1,1,0.0074,0.99,55000.0,0.926,3,0
167,14,92.5,128582,1997,жен.,неоконч. высшее,30729.0,0,96.752,0,средний,0,1,0.0077,-2.51,127000.0,0.954,3,0
168,53,51.8,2133273,1984,муж.,ср. специальное,70477.0,1,122.9,0,средний,1,1,0.0083,-0.93,29000.0,0.041,2,0
169,38,92.7,918358,2002,муж.,NA,19357.0,0,111.964,0,низкий,1,0,0.0093,-0.46,93000.0,0.544,1,0
170,25,81.9,674618,1978,муж.,ср. специальное,44948.0,0,96.978,0,средний,1,0,0.0088,-0.95,57000.0,0.478,1,0
171,70,65.7,1025411,1996,жен.,ср. специальное,73980.0,1,79.195,0,высокий,1,0,0.0072,1.25,24000.0,0.391,2,0
172,67,54.2,1586025,2002,жен.,ср. общ.,20229.0,0,111.667,0,высокий,1,0,0.0082,3.15,158000.0,0.819,4,0
173,81,55.3,451800,1988,муж.,уч. степень,31472.0,0,115.516,0,высокий,0,1,0.0081,0.77,101000.0,0.806,1,0
174,87,81.5,931825,1985,жен.,среднее,29527.0,0,116.904,1,низкий,1,1,0.009,1.0,141000.0,0.652,1,0
175,56,84.2,1573479,1942,жен.,уч. степень,52921.0,0,109.097,0,высокий,1,1,0.0078,-1.19,195000.0,0.164,5,0
176,83,54.4,1535213,1959,муж.,среднее,36391.0,1,111.155,0,средний,1,1,0.0071,-3.0,108000.0,0.605,2,0
177,46,50.5,635866,1954,муж.,высшее,19376.0,1,96.1,0,средний,0,0,0.0079,-0.97,136000.0,0.593,1,0
178,79,28.0,2059348,1971,муж.,начальное,54343.0,0,103.65,0,низкий,0,1,0.0094,-0.34,43000.0,0.472,2,0
179,28,51.5,1441977,1967,муж.,среднее,54664.0,0,112.278,0,средний,0,0,0.0085,-2.08,31000.0,0.662,5,0
180,56,88.6,219817,1986,жен.,среднее,32784.0,0,112.741,0,высокий,1,1,0.0071,-0.34,35000.0,0.532,1,0
181,80,53.7,1908068,2002,жен.,высшее,10634.0,0,105.944,0,средний,0,1,0.0079,0.96,17000.0,0.36,1,0
182,22,67.0,956199,1962,жен.,высшее,81968.0,1,106.89,0,низкий,1,1,0.007,-0.33,59000.0,0.028,1,0
183,74,28.0,1331869,2002,муж.,среднее,39525.0,1,95.652,0,низкий,1,0,0.0071,-2.72,95000.0,0.064,3,0
184,62,94.5,1985813,1998,жен.,среднее,60028.0,1,103.728,0,высокий,0,1,0.0072,-1.3,25000.0,0.862,1,0
185,92,28.0,645717,1986,жен.,среднее,42196.0,1,97.758,0,средний,0,1,0.0095,0.54,85000.0,0.807,2,0
186,53,65.5,1119654,1958,муж.,ср. специальное,21421.0,0,101.622,0,средний,1,0,0.0074,0.21,22000.0,0.952,4,0
187,65,43.3,1378666,1975,муж.,ср. специальное,11600.0,1,99.619,0,средний,1,0,0.0079,2.81,27000.0,0.409,2,0
188,53,57.7,874608,1954,жен.,ср. специальное,35527.0,1,98.136,0,средний,0,0,0.0093,3.05,79000.0,0.166,4,0
189,40,78.9,1408494,1972,муж.,высшее,50391.0,0,101.708,0,средний,0,0,0.0092,-0.96,286000.0,0.269,4,0
190,41,43.8,2165750,1958,муж.,начальное,50507.0,1,101.117,0,низкий,0,0,0.0087,-2.17,85000.0,0.94,4,0
191,81,85.2,1481587,1977,жен.,среднее,61490.0,0,92.238,0,низкий,1,1,0.0078,-0.35,165000.0,0.443,2,0
192,21,53.6,2031726,1975,жен.,неоконч. высшее,32365.0,0,109.302,0,высокий,1,0,0.0072,0.38,188000.0,0.222,2,0
193,38,55.2,725540,1947,жен.,высшее,18795.0,0,95.836,0,средний,1,0,0.0086,-1.91,72000.0,0.192,1,0
194,77,65.2,693279,1981,муж.,среднее,41910.0,1,90.978,0,низкий,1,0,0.0085,0.83,11000.0,0.278,1,0
195,66,85.9,487345,1975,муж.,высшее,61219.0,0,111.4,0,высокий,1,1,0.0085,-3.22,91000.0,0.663,1,0
196,10,50.1,281636,1996,жен.,среднее,24211.0,1,90.228,0,средний,1,0,0.0075,-0.48,20000.0,0.474,1,0
197,17,76.0,1787118,1986,муж.,среднее,42848.0,0,119.775,0,низкий,0,0,0.0086,-2.91,283000.0,0.083,1,0
198,35,38.1,1658613,1982,жен.,неоконч. высшее,21835.0,0,118.608,0,средний,1,1,0.0096,0.84,49000.0,0.16,5,0
199,43,90.2,1606678,2002,NA,среднее,57143.0,0,97.847,0,высокий,1,0,0.0076,-2.75,20000.0,0.402,2,0
200,73,69.1,104714,1960,муж.,неоконч. высшее,36601.0,1,97.75,0,высокий,1,0,0.0086,-1.54,140000.0,0.975,1,0
201,23,87.8,958634,1952,муж.,ср. общ.,15998.0,0,101.833,0,средний,1,0,0.0072,0.71,71000.0,0.212,1,0
202,87,39.7,1405359,1990,жен.,начальное,52991.0,1,115.954,0,высокий,1,1,0.0072,-1.31,30000.0,0.282,4,0
203,80,90.9,346538,2000,жен.,среднее,28758.0,0,101.785,0,средний,1,1,0.0069,-0.83,193000.0,0.961,1,0
204,59,55.4,1075706,1958,муж.,уч. степень,53012.0,0,93.171,0,высокий,1,0,0.0076,1.18,105000.0,0.433,2,0
205,31,71.9,1543016,1970,жен.,среднее,22817.0,1,93.398,0,средний,1,0,0.0079,1.31,30000.0,0.589,1,0
206,16,70.5,474606,1977,муж.,уч. степень,52711.0,1,113.398,1,средний,1,0,0.0094,0.43,15000.0,0.889,4,0
207,23,44.6,2083994,1983,жен.,высшее,65809.0,1,107.149,0,средний,0,0,0.0081,0.26,21000.0,0.776,1,0
